house_value,Crime_Rate,Charles_river_bound,num_of_rooms,dist_to_employment_center,property_tax_rate,student_teacher_ratio,Nitric_Oxides,accessiblity_to_highway
240000,0.00632,No,7,4.09,296,15.3,0.538,1
216000,0.02731,No,6,4.9671,242,17.8,0.469,2
347000,0.02729,No,7,4.9671,242,17.8,0.469,2
334000,0.03237,No,7,6.0622,222,18.7,0.458,3
362000,0.06905,No,7,6.0622,222,18.7,0.458,3
287000,0.02985,No,6,6.0622,222,18.7,0.458,3
229000,0.08829,No,6,5.5605,311,15.2,0.524,5
271000,0.14455,No,6,5.9505,311,15.2,0.524,5
165000,0.21124,No,6,6.0821,311,15.2,0.524,
189000,0.17004,No,6,6.5921,311,15.2,0.524,5
150000,0.22489,No,6,6.3467,311,15.2,,5
189000,0.11747,No,6,6.2267,311,15.2,0.524,5
217000,0.09378,No,6,,311,15.2,0.524,5
204000,0.62976,No,6,4.7075,307,21,0.538,4
182000,0.63796,No,6,4.4619,307,21,0.538,4
199000,0.62739,No,6,4.4986,307,21,0.538,4
231000,1.05393,No,6,4.4986,307,21,0.538,4
175000,0.7842,No,6,,307,21,0.538,4
202000,0.80271,No,5,3.7965,307,21,0.538,4
182000,0.7258,No,6,3.7965,307,21,0.538,4
136000,1.25179,No,6,3.7979,307,21,0.538,4
196000,0.85204,No,6,4.0123,307,21,0.538,4
152000,1.23247,No,,3.9769,307,21,0.538,4
145000,0.98843,No,,4.0952,307,21,0.538,4
156000,0.75026,No,,4.3996,307,21,,4
139000,0.84054,No,,4.4546,307,21,0.538,4
166000,0.67191,No,,4.682,307,21,0.538,4
148000,0.95577,No,6,4.4534,307,21,0.538,4
184000,0.77299,No,6,4.4547,307,21,0.538,4
210000,1.00245,No,7,4.239,307,21,0.538,4
127000,1.13081,No,6,4.233,307,21,0.538,4
145000,1.35472,No,6,4.175,307,21,0.538,4
132000,1.38799,No,6,3.99,307,21,0.538,4
131000,1.15172,No,6,3.7872,307,21,0.538,4
135000,1.61282,No,6,3.7598,307,21,0.538,4
189000,0.06417,No,6,3.3603,279,19.2,0.499,5
200000,0.09744,No,6,3.3779,279,19.2,0.499,5
210000,0.08014,No,6,3.9342,279,19.2,0.499,5
247000,0.17505,No,6,3.8473,279,19.2,0.499,5
308000,0.02763,No,7,5.4011,252,18.3,0.428,3
349000,0.03359,No,7,5.4011,252,18.3,0.428,3
266000,0.12744,No,7,5.7209,233,17.9,0.448,3
253000,0.1415,No,6,5.7209,233,17.9,0.448,3
247000,0.15936,No,6,5.7209,233,17.9,0.448,3
212000,0.12269,No,6,5.7209,233,17.9,0.448,3
193000,0.17142,No,6,5.1004,233,17.9,0.448,3
200000,0.18836,No,6,5.1004,233,17.9,0.448,3
166000,0.22927,No,6,5.6894,233,17.9,0.448,3
144000,0.25387,No,5,5.87,233,17.9,0.448,3
194000,0.21977,No,6,6.0877,233,17.9,0.448,3
197000,0.08873,No,6,6.8147,243,16.8,0.439,4
205000,0.04337,No,6,6.8147,243,16.8,0.439,4
250000,0.0536,No,7,6.8147,243,16.8,0.439,4
234000,0.04981,No,6,6.8147,243,16.8,0.439,4
189000,0.0136,No,6,7.3197,469,21.1,0.41,3
354000,0.01311,No,7,8.6966,226,17.9,0.403,5
247000,0.02055,No,6,9.1876,313,17.3,0.41,2
316000,0.01432,No,7,8.3248,256,15.1,0.411,5
233000,0.15445,No,6,7.8148,284,19.7,0.453,8
196000,0.10328,No,6,6.932,284,19.7,0.453,8
187000,0.14932,No,6,7.2254,284,19.7,0.453,8
160000,0.17171,No,6,6.8185,284,19.7,0.453,8
222000,0.11027,No,6,7.2255,284,19.7,0.453,8
250000,0.1265,No,7,7.9809,284,19.7,0.453,8
330000,0.01951,No,7,9.2229,216,18.6,0.4161,3
235000,0.03584,No,6,6.6115,337,16.1,0.398,4
194000,0.04379,No,6,6.6115,337,16.1,0.398,4
220000,0.05789,No,6,6.498,345,18.9,0.409,4
174000,0.13554,No,6,6.498,345,18.9,0.409,4
209000,0.12816,No,6,6.498,345,18.9,0.409,4
242000,0.08826,No,6,5.2873,305,19.2,0.413,4
217000,0.15876,No,6,5.2873,305,19.2,0.413,4
228000,0.09164,No,6,5.2873,305,19.2,0.413,4
234000,0.19539,No,6,5.2873,305,19.2,0.413,4
241000,0.07896,No,6,4.2515,398,18.7,0.437,5
214000,0.09512,No,6,4.5026,398,18.7,0.437,5
200000,0.10153,No,6,4.0522,398,18.7,0.437,5
208000,0.08707,No,6,4.0905,398,18.7,0.437,5
212000,0.05646,No,6,5.0141,398,18.7,0.437,5
